cabinet,type,name type,scientific name,common name,number,taxonomic classification,taxonomic classifivation
2.01-2.03,a,common,,greater sage-grouse,,,FIX
2.01-2.03,a,common,,greater sage-grouse,,,FIX
2.01-2.03,a,common,,grey squirrel,,,FIX
2.01-2.03,a,common,,snow bunting,,,FIX
2.01-2.03,a,common,,snow bunting,,,FIX
2.01-2.03,a,common,,grey junglefowl,,,FIX
2.01-2.03,a,common,,northern bobwhite,,,FIX
2.01-2.03,a,common,,ruffed grouse,,,FIX
2.01-2.03,a,common,,mule deer,,,FIX
2.01-2.03,a,common,,eurasian wryneck,,,FIX
2.01-2.03,a,common,,collared pratincole,,,FIX
2.01-2.03,a,common,,yellow warbler,,,FIX
2.01-2.03,a,common,,scarlet tanager,,,FIX
2.01-2.03,a,common,,ruby-throated hummingbird,,,FIX
2.01-2.03,a,common,,ring-necked pheasant,,,FIX
2.01-2.03,a,common,,eastern bluebird,,,FIX
2.01-2.03,a,common,,snow bunting,,,FIX
2.01-2.03,a,common,,snow bunting,,,FIX
2.01-2.03,a,common,,red-winged blackbird,,,FIX
2.01-2.03,a,common,,eastern meadowlark,,,FIX
2.01-2.03,a,common,,american redstart,,,FIX
2.01-2.03,a,common,,yellow-rumped warbler,,,FIX
2.01-2.03,a,common,,ruby-throated hummingbird,,,FIX
2.01-2.03,a,common,,rusty blackbird,,,FIX
2.01-2.03,a,common,,baltimore oriole,,,FIX
2.01-2.03,a,common,,ruby-throated hummingbird,,,FIX
2.01-2.03,a,common,,rusty blackbird,,,FIX
2.01-2.03,a,common,,baltimore oriole,,,FIX
2.01-2.03,a,common,,ruby-throated hummingbird,,,FIX
2.01-2.03,a,common,,yellow warbler,,,FIX
2.01-2.03,a,common,,ring-necked pheasant,,,FIX
2.01-2.03,a,common,,eastern bluebird,,,FIX
2.01-2.03,a,common,,peccary,,,FIX
2.01-2.03,a,common,,mink,,,FIX
2.01-2.03,a,common,,indian cobra,,,FIX
2.01-2.03,a,common,,snowshoe hare,,,FIX
